row_idx,col_idx,nH,colDen,tg_guess,final_Tg,attempt_number,attempt_type,converged,repeat_equilibrium,co_int_TB,error_message
22,82,77.4263682681127,9.32603346883218e+22,5.12,7.870322952131138,1,successful,True,0,60.521674576278606,
22,83,77.4263682681127,1.0722672220103254e+23,5.12,8.137470381815199,1,successful,True,0,63.942472139317736,
22,84,77.4263682681127,1.2328467394420634e+23,5.12,nan,1,exception,False,0,nan,convergence failed for CO
22,84,77.4263682681127,1.2328467394420634e+23,10.234,8.41642572156582,2,successful,True,0,67.51973716827995,
22,85,77.4263682681127,1.4174741629268077e+23,5.12,8.70861495461964,1,successful,True,0,71.27039653011386,
22,86,77.4263682681127,1.62975083462064e+23,5.12,9.015082458560004,1,successful,True,0,75.20630263848362,
22,87,77.4263682681127,1.8738174228603868e+23,5.12,9.33623946051992,1,successful,True,0,79.33090837843447,
22,88,77.4263682681127,2.1544346900318955e+23,5.12,9.671813829555038,1,successful,True,0,83.63848338741461,
22,89,77.4263682681127,2.477076355991714e+23,5.12,10.021201320312409,1,successful,True,0,88.11850467544373,
22,90,77.4263682681127,2.848035868435793e+23,5.12,10.386101943155431,1,successful,True,0,92.78956892639755,
22,91,77.4263682681127,3.2745491628777314e+23,5.12,10.76398698214644,1,successful,True,0,97.61523522641426,
22,92,77.4263682681127,3.764935806792487e+23,5.12,11.155194305887866,1,successful,True,0,102.595283556449,
22,93,77.4263682681127,4.328761281083061e+23,5.12,11.560790432267302,1,successful,True,0,107.73825009304417,
22,94,77.4263682681127,4.977023564332094e+23,5.12,11.982319899814799,1,successful,True,0,113.05810175151885,
22,95,77.4263682681127,5.72236765935022e+23,5.12,12.421359832338954,1,successful,True,0,118.56830893094057,
22,96,77.4263682681127,6.57933224657571e+23,5.12,12.879070135336622,1,successful,True,0,124.27578643856342,
22,97,77.4263682681127,7.56463327554629e+23,5.12,13.3559398554714,1,successful,True,0,130.17731295170046,
22,98,77.4263682681127,8.6974900261778e+23,5.12,13.85189220642045,1,successful,True,0,136.26053539080067,
22,99,77.4263682681127,1e+24,5.12,14.36672909967598,1,successful,True,0,142.50929674570978,
23,0,84.97534359086447,1e+18,5.12,12731.062790281694,1,successful,True,0,5.604507435981961e-07,
23,1,84.97534359086447,1.1497569953977403e+18,5.12,12730.418461663512,1,successful,True,0,6.449517890993108e-07,
23,2,84.97534359086447,1.3219411484660288e+18,5.12,12729.67780282627,1,successful,True,0,7.422023952270885e-07,
23,3,84.97534359086447,1.5199110829529393e+18,5.12,12728.826400595966,1,successful,True,0,8.541291292648391e-07,
23,4,84.97534359086447,1.747528400007683e+18,5.12,12727.847687454929,1,successful,True,0,9.829506158741463e-07,
23,5,84.97534359086447,2.0092330025650542e+18,5.12,12726.722620242484,1,successful,True,0,1.1312221139603305e-06,
23,6,84.97534359086447,2.310129700083158e+18,5.12,12725.429311168265,1,successful,True,0,1.3018869920204207e-06,
23,7,84.97534359086447,2.6560877829466947e+18,5.12,12723.942604129363,1,successful,True,0,1.4983362060158655e-06,
